Year;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Temperatura ;lluvia;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;0.7;525;6;No;Si;No;No;No;No;Si;No;13.7682947;-89.683064;545;0;Si;No;Si;Si;No;No;28;135;1.09736;3.4892
1;Hombre;1;950;8;Si;No;No;No;No;Si;Si;No;13.694444;-89.658056;298;0;Si;Si;Si;Si;No;Si;23;60;0.9592;3.81
1;Hombre;2.5;200;5;No;Si;No;No;No;No;No;No;13.465375;-88.38033;490;0;Si;Si;Si;No;Si;Si;25;135;0.36168;1.95
1;Hombre;0.7;600;11;No;No;No;No;Si;Si;No;No;13.7615;-89.4332;469;0;Si;No;Si;Si;Si;No;22;131;0.98384;4.39296
1;Hombre;0.5;250;8;No;Si;No;No;No;No;No;No;13.4967631;-88.303741;714;0;Si;Si;Si;Si;Si;Si;23;40;0.09944;0.5
1;Hombre;4;2520;4;No;Si;No;No;No;No;No;No;13.58846444;-88.94097729;554;0;Si;Si;Si;Si;Si;Si;20;35;0.46112;4.48
1;Hombre;0.7;350;7;No;No;No;No;No;No;Si;No;13.768016;-89.623535;700;0;Si;No;Si;Si;No;No;21;95;0.89848;2.50096
1;Mujer;0.8;200;4;No;Si;No;No;No;No;No;No;13.3271388;-88.55634;54;0;Si;Si;Si;Si;No;Si;25;72;0.34672;1.75
1;Mujer;0.3;250;3;No;No;No;No;Si;Si;No;No;13.6808831;-88.925614;595;0;Si;Si;Si;Si;Si;Si;23;24;0.11968;0.88
1;Hombre;1;150;5;No;Si;No;No;No;No;No;No;13.6673144;-88.959564;480;0;Si;Si;Si;Si;Si;Si;30;141;0.1848;2.02
1;Hombre;1;500;6;Si;Si;No;No;No;No;Si;No;13.44464;-89.199369;4;0;Si;Si;Si;Si;Si;No;24;105;1.2408;1.7776
1;Mujer;0.7;600;5;No;No;No;No;Si;Si;No;No;13.7800295;-89.117737;613;0;Si;Si;Si;Si;Si;No;29;6;0.88;0.946
1;Hombre;2;1800;6;Si;Si;No;No;No;Si;No;No;13.7034896;-89.714855;215;0;Si;Si;Si;Si;Si;No;24;50;3.18384;15.97816
1;Hombre;0.5;125;4;No;No;No;No;No;Si;No;No;13.54536333;-88.434485;502;0;Si;Si;No;Si;Si;Si;27;33;0.396;2.3
1;Hombre;1;900;11;No;No;No;No;No;Si;No;No;13.925955;-88.643236;584;0;Si;No;No;No;No;Si;25;25;0.53944;3.52
1;Hombre;0.18;200;5;No;No;No;No;Si;Si;No;No;13.788315;-88.239635;1095;0;Si;No;Si;Si;Si;Si;30;38;0.1056;0.374
1;Hombre;1.5;470;4;Si;No;No;No;No;Si;No;No;13.836;-88.602277;585;0;Si;Si;Si;Si;Si;Si;28;143;0.57024;3.07912
1;Hombre;0.3;150;3.4;No;No;No;No;Si;Si;No;No;13.754174;-88.2049;972;10;Si;Si;Si;Si;Si;Si;30;83;0.20328;0.726
1;Hombre;4.9;2500;6;No;Si;No;No;No;No;Si;No;14.15520573;-89.6863274;1001;0;Si;No;Si;Si;Si;No;27;64;4.64552;13.25544
1;Hombre;2.8;2000;4.6;No;Si;No;No;No;Si;No;No;13.928297;-89.812753;760;20;Si;Si;Si;Si;Si;No;26;107;2.7324;13.3628
