Año;Sexo productor;Area (Ha);Arboles_totales;Edad promedio plantas;Aluviales;Andisoles;Grumosoles;Halomorficos;Latosoles_arcillosos_acidos;Latosoles_arcillo_rojizos;Litosoles;Regosoles;Latitud;Longitud;Altura;Porcentaje_Injertacion;Aplica poda;Maneja sombra;Fertilizacion organica;Fertilizacion quimica;Presencia plagas y enfermedades;recibe AT;Perdidas (qq);Produccion efectiva (qq)
1;Hombre;1;900.0;11.0;No;No;No;No;No;Si;No;No;13.925955;-88.643236;584;0.00;Si;No;No;No;No;Si;0.53944;3.52
1;Hombre;0.18;200.0;5.0;No;No;No;No;Si;Si;No;No;13.788315;-88.239635;1095;0.00;Si;No;Si;Si;Si;Si;0.1056;0.374
1;Hombre;1.5;470.0;4.0;Si;No;No;No;No;Si;No;No;13.836;-88.602277;585;0.00;Si;Si;Si;Si;Si;Si;0.57024;3.07912
1;Hombre;0.3;150.0;3.4;No;No;No;No;Si;Si;No;No;13.754174;-88.2049;972;10.00;Si;Si;Si;Si;Si;Si;0.20328;0.726
1;Hombre;4.9;2500.0;6.0;No;Si;No;No;No;No;Si;No;14.15520573;-89.6863274;1001;0.00;Si;No;Si;Si;Si;No;4.64552;13.25544
1;Hombre;2.8;2000.0;4.6;No;Si;No;No;No;Si;No;No;13.928297;-89.812753;760;20.00;Si;Si;Si;Si;Si;No;2.7324;13.3628
1;Hombre;2.5;450.0;6.0;No;Si;No;No;No;Si;Si;No;13.42902249;-88.5109981;459;0.00;Si;Si;Si;No;Si;Si;0.12496;1.74
1;Hombre;0.5;165.0;4.7;No;Si;No;No;No;No;Si;No;13.4943867;-88.404348;690;0.00;Si;Si;No;No;Si;Si;0.968;5.05
1;Hombre;1.2;1200.0;5.5;No;Si;No;No;No;No;Si;No;13.687212;-88.962839;618;0.00;Si;Si;Si;Si;No;Si;0.41184;2.61
1;Hombre;0.3;250.0;5.0;No;Si;No;No;No;No;No;No;13.285;-88.2326;163;0.00;Si;Si;No;No;Si;Si;0.572;3.3
1;Hombre;4.8;900.0;7.0;No;Si;No;No;No;No;No;No;13.5809892;-88.935497;547;0.00;No;Si;No;Si;Si;Si;0.242;2.9
1;Mujer;0.3;250.0;5.0;No;Si;No;No;No;No;Si;No;13.7832958;-88.949438;637;0.00;Si;Si;Si;Si;Si;Si;0.15488;1.12
